turn,p2_hand,droped_cards_p1,droped_cards_p2,p1_point,p2_point,select_card,action
1,"H, C, H, H, B, Fe, H, O","C, H, H, H, C, C, Al, H, H","H, Ne, F, O, H, H, O, O, O",0,0,O,0
1,"H, C, H, H, B, Fe, H, P","C, H, H, H, C, C, Al, H, H, B","H, Ne, F, O, H, H, O, O, O, Fe",0,0,Fe,0
1,"H, C, H, H, B, K, H, P","C, H, H, H, C, C, Al, H, H, B, C","H, Ne, F, O, H, H, O, O, O, Fe, B",0,0,B,0
1,"H, C, H, H, H, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C","H, Ne, F, O, H, H, O, O, O, Fe, B, H",0,0,H,0
1,"H, C, H, H, Ca, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca",0,0,Ca,0
1,"H, C, H, H, N, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N",0,0,N,0
1,"H, C, H, H, Ne, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne",0,0,Ne,0
1,"H, C, H, H, I, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I",0,0,I,0
1,"H, C, H, H, C, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C",0,0,C,0
1,"H, C, H, H, C, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C",0,0,C,0
1,"H, C, H, H, O, K, H, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H",0,0,H,0
1,"H, C, H, H, O, K, P, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P",0,0,P,0
1,"H, C, H, H, O, K, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K",0,0,K,0
1,"H, C, H, H, O, C, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C",0,0,C,0
1,"H, C, H, H, O, Cu, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu",0,0,Cu,0
1,"H, C, H, H, O, H, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C",0,0,C,0
1,"H, Fe, H, H, O, H, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe",0,0,Fe,0
1,"H, C, H, H, O, H, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H",0,0,H,0
1,"H, C, H, H, O, C, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C",0,0,C,0
1,"H, Cl, H, H, O, C, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C",0,0,C,0
1,"H, Cl, H, H, O, Li, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li",0,0,Li,0
1,"H, Cl, H, H, O, S, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl",0,0,Cl,0
1,"H, He, H, H, O, S, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He",0,0,He,0
1,"H, H, H, H, O, S, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H",0,0,H,0
1,"H, H, H, H, O, S, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H",0,0,H,0
1,"H, N, H, H, O, S, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S",0,0,S,0
1,"H, N, H, H, O, C, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C",0,0,C,0
1,"H, N, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N",0,0,N,0
1,"H, C, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C",0,0,C,0
1,"H, H, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H",0,0,H,0
1,"H, C, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C",0,0,C,0
1,"H, Li, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li",0,0,Li,0
1,"H, Na, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na",0,0,Na,0
1,"H, S, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S",0,0,S,0
1,"H, Si, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si",0,0,Si,0
1,"H, H, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F, I","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si, H",0,0,H,0
1,"H, H, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F, I, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si, H, H",0,0,H,0
1,"H, Be, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F, I, O, H","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si, H, H, Be",0,0,Be,0
1,"H, C, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F, I, O, H, Na","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si, H, H, Be, C",0,0,C,0
1,"H, H, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F, I, O, H, Na, C","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si, H, H, Be, C, H",0,0,H,0
1,"H, H, H, H, O, O, O, P","C, H, H, H, C, C, Al, H, H, B, C, C, H, O, Ar, Zn, O, O, Be, O, Cl, C, K, H, H, O, H, H, O, Al, O, Mg, C, Ca, H, O, H, H, O, Si, O, Zn, F, I, O, H, Na, C, O","H, Ne, F, O, H, H, O, O, O, Fe, B, H, Ca, N, Ne, I, C, C, H, P, K, C, Cu, C, Fe, H, C, C, Li, Cl, He, H, H, S, C, N, C, H, C, Li, Na, S, Si, H, H, Be, C, H, H",0,0,H,0
